Image_ID,Image_Number,Aspect_Ratio,Gender,Age,Smile,Pitch_Angle,Roll_Angle,Yaw_Angle,Blurness,Motionblur,Gaussianblur,Anger,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Facequality,Beauty,Mouthstatus,Skinstatus,Glass
9952389,1106,0.9418181818181818,Female,46,99.999,-0.11649058,5.057448,1.8148265,0.374,0.374,0.374,0.001,0.001,0.001,99.643,0.301,0.004,0.05,94.037,60.68,close,health,None
9952389,1107,0.9607329842931938,Female,42,99.944,3.9724188,0.110115245,1.4227241,0.362,0.362,0.362,0.001,0.0,0.0,99.025,0.962,0.002,0.009,93.484,52.843,close,stain,None
9952389,1108,0.9464285714285714,Female,47,99.999,-0.11416917,4.665625,2.5542467,0.363,0.363,0.363,0.001,0.001,0.001,99.24,0.699,0.001,0.058,93.587,59.042,close,health,None
9952389,1109,1.0,Female,43,99.336,5.5400543,1.7578264,2.340172,99.996,99.996,99.996,0.006,0.013,0.006,99.692,0.08,0.146,0.059,0.006,46.549,close,acne,None
1002351228,110,1.0294117647058822,Male,44,85.727,0.48498523,8.574998,3.8104784,0.034,0.034,0.034,0.131,0.985,34.13,55.26,8.446,0.135,0.914,92.674,59.831,close,stain,Normal
1006127992,1110,0.9234449760765551,Female,54,96.217,0.8568165,0.4192353,2.6290226,0.362,0.362,0.362,0.105,0.006,0.006,75.496,23.41,0.006,0.97,93.408,43.158,close,health,Normal
1006127992,1111,0.9173913043478261,Female,53,96.336,2.0129445,1.0024854,2.2321005,0.364,0.364,0.364,0.058,0.006,0.006,65.647,33.835,0.006,0.442,93.442,44.583,close,health,Normal
1025502,1112,0.9438202247191011,Female,34,2.683,2.504158,-7.850544,-3.8337243,1.638,1.638,1.638,2.437,0.012,0.012,13.219,83.577,0.72,0.022,91.714,55.908,close,stain,Normal
1025502,1113,1.0,Female,38,0.136,3.74467,-1.004604,0.31097507,0.342,0.342,0.342,0.037,0.003,0.003,0.062,99.82,0.003,0.072,94.13,82.41,close,health,None
1025502,1114,1.0,Female,38,0.136,3.74467,-1.004604,0.31097507,0.342,0.342,0.342,0.037,0.003,0.003,0.062,99.82,0.003,0.072,94.13,82.41,close,health,None
1025502,1115,0.9428571428571428,Female,29,71.19,3.215941,-0.8376198,-0.41193128,0.361,0.361,0.361,0.046,0.003,0.003,96.655,3.207,0.082,0.003,94.196,62.082,open,stain,Normal
271479644,1116,0.9827586206896551,Female,46,100.0,-0.10074443,2.267755,16.675798,0.083,0.083,0.083,0.004,0.026,0.33,99.627,0.003,0.006,0.005,46.012,58.954,open,health,None
271479644,1117,0.9333333333333333,Female,40,0.152,-3.387603,11.068085,-5.4065123,0.008,0.008,0.008,0.024,0.001,0.005,0.078,99.823,0.068,0.001,90.305,56.581,close,health,None
271479644,1119,0.9911504424778761,Female,45,70.56,1.7204999,1.7625445,5.3805127,0.46,0.46,0.46,0.007,0.009,0.021,0.84,99.12,0.001,0.001,90.686,49.628,open,health,None
1002351228,111,1.0204081632653061,Male,41,100.0,7.67024,2.2530923,7.6049705,0.329,0.329,0.329,0.0,0.0,0.0,99.999,0.0,0.0,0.001,84.363,62.97,open,health,Normal
271479644,1120,0.9830985915492958,Female,48,100.0,0.5145677,2.5098658,17.23743,0.172,0.172,0.172,0.002,0.015,0.052,99.907,0.002,0.019,0.004,41.19,57.437,open,health,None
1004375550,1121,1.0172413793103448,Female,45,100.0,0.8145026,0.14191873,3.4067824,0.575,0.575,0.575,0.001,0.094,0.001,99.895,0.004,0.001,0.005,92.788,59.233,open,health,None
1004375550,1122,1.0,Female,27,100.0,5.661356,0.98682183,3.3803492,0.705,0.705,0.705,0.0,0.001,0.0,99.999,0.0,0.0,0.0,91.41,74.876,open,health,None
1008748009,1123,1.0178571428571428,Male,41,99.975,8.598506,2.7729945,5.0529265,0.317,0.317,0.317,0.0,0.0,0.0,100.0,0.0,0.0,0.0,88.19,69.652,open,health,Normal
1008748009,1124,1.1064814814814814,Male,40,0.305,2.3911185,-2.7425215,1.5324818,0.358,0.358,0.358,0.007,0.048,0.002,94.365,5.573,0.002,0.002,93.789,64.8,open,health,Normal
1008748009,1125,1.0144927536231885,Male,44,99.962,9.118658,3.3030114,5.568416,0.307,0.307,0.307,0.0,0.0,0.0,100.0,0.0,0.0,0.0,87.083,67.683,open,health,Normal
1008086756,1126,0.9767441860465116,Female,38,0.5,5.6781154,-4.603621,-10.611816,0.841,0.841,0.841,0.022,0.091,0.022,80.437,14.564,4.717,0.148,77.029,85.748,close,health,None
1008086756,1127,0.9671232876712329,Female,38,0.524,5.3934765,-6.611596,-10.471504,0.626,0.626,0.626,0.024,0.099,0.024,88.3,8.42,2.925,0.209,77.885,85.675,close,health,None
1002351228,112,1.0372670807453417,Male,46,100.0,3.1988885,3.331303,7.038804,0.314,0.314,0.314,0.0,0.0,0.0,99.999,0.0,0.0,0.0,87.885,64.48,open,stain,Normal
25189089,1130,1.0077220077220077,Female,35,100.0,5.4516687,-1.3004297,9.024373,0.344,0.344,0.344,0.001,0.184,0.001,99.18,0.022,0.001,0.611,82.459,74.697,close,health,None
25189089,1132,1.010752688172043,Female,32,100.0,6.481514,-0.86229146,7.632999,0.351,0.351,0.351,0.001,0.103,0.001,99.832,0.027,0.001,0.036,85.096,70.72,close,health,None
1005625158,1137,1.0122249388753055,Female,50,99.633,7.4744487,-2.8923228,12.963649,0.033,0.033,0.033,0.12,0.262,0.01,87.51,12.05,0.01,0.037,65.253,63.837,close,stain,Normal
1005625158,1138,1.0575757575757576,Female,50,80.965,15.5823345,1.3599188,3.1384625,0.147,0.147,0.147,0.216,0.174,0.194,10.73,88.49,0.151,0.046,83.957,51.993,close,stain,Normal
1000703440,113,0.9841269841269841,Female,41,1.16,3.532587,-5.039258,2.7439132,0.813,0.813,0.813,0.496,0.297,0.297,16.095,38.712,43.331,0.771,92.597,68.01,close,health,None
1005625158,1141,1.0545454545454545,Female,49,60.469,13.90676,-1.7573423,2.8496838,0.42,0.42,0.42,0.1,0.129,0.108,16.516,83.083,0.031,0.032,86.445,47.572,other_occlusion,health,Normal
1005885752,1142,0.9243697478991597,Female,29,100.0,6.9838386,5.368386,-5.3685637,0.998,0.998,0.998,0.0,0.001,0.001,99.996,0.001,0.0,0.001,88.426,80.051,open,health,None
1000452106,1143,0.9864864864864865,Female,43,0.016,0.763581,-1.7340916,10.755245,0.305,0.305,0.305,0.001,0.001,0.053,0.032,99.896,0.014,0.001,79.763,53.556,close,health,None
1000452106,1144,1.024024024024024,Female,26,100.0,4.579635,-1.6460342,7.07801,0.457,0.457,0.457,0.0,0.113,0.001,99.884,0.0,0.001,0.001,87.162,76.224,open,health,None
1000452106,1145,0.9803921568627451,Female,36,100.0,8.16466,-8.597232,8.580652,0.859,0.859,0.859,0.027,1.255,0.027,46.777,0.127,0.027,51.759,81.336,57.771,open,health,None
1000452106,1146,1.0737051792828685,Female,39,7.295,3.465787,0.047223337,10.975051,0.285,0.285,0.285,0.001,0.396,0.001,0.492,99.098,0.001,0.011,77.589,76.188,open,health,None
1000452106,1147,1.0363247863247864,Female,27,100.0,3.8254619,-3.5199037,16.28426,0.067,0.067,0.067,0.002,0.348,0.002,99.641,0.002,0.002,0.005,46.647,80.431,open,health,None
1005356865,1148,1.0091743119266054,Female,50,100.0,7.922121,5.960675,-9.38315,0.27,0.27,0.27,0.0,0.0,0.0,100.0,0.0,0.0,0.0,79.608,63.689,open,health,None
1005880840,1149,1.0112359550561798,Female,43,99.995,0.9018411,-1.2116545,-1.4626107,0.364,0.364,0.364,0.047,0.001,0.001,99.946,0.001,0.001,0.003,94.108,84.039,open,health,Normal
1000703440,114,0.9304347826086956,Female,29,99.999,4.699334,-9.558458,8.194465,0.402,0.402,0.402,0.764,0.006,0.032,99.099,0.01,0.006,0.083,84.896,82.702,open,health,None
